,year,infraction_code,street_address,count,fine_sum,fine_descrp,mean_hour,lat,lng,full_address,fine_amt
1303527,2011,8,28 STADIUM RD,358,21480.0,STAND SIGN HWY PRO TIMES/DAYS,15.0,43.633462,-79.3996829,28 Stadium Rd Toronto ON M5V 3P4 Canada,60.0
1192064,2011,3,1300 FINCH AVE W,716,21480.0,PARK/LEAVE ON PRIVATE PROPERTY,14.0,43.7648338,-79.4898877,1300 Finch Ave W North York ON M3J 3K2 Canada,30.0
1263872,2011,5,6 ADELAIDE ST E,536,21440.0,PARK HWY PROHIBED TIME/DAY,12.0,43.6506499,-79.3782305,6 Adelaide St E Toronto ON M5C 1H6 Canada,40.0
1305348,2011,8,50 CUMBERLAND ST,357,21420.0,STAND SIGN HWY PRO TIMES/DAYS,14.0,43.6711105,-79.38914,50 Cumberland St Toronto ON M4W 1J5 Canada,60.0
1217766,2011,5,132 ST PATRICK ST,535,21400.0,PARK HWY PROHIBED TIME/DAY,14.0,43.6537509,-79.3904175,132 St Patrick St Toronto ON M5T 1V1 Canada,40.0
1304516,2011,8,371 FRONT ST W,356,21360.0,STAND SIGN HWY PRO TIMES/DAYS,18.0,43.6430035,-79.3921199,371 Front St W Toronto ON M5V 3S8 Canada,60.0
1478709,2011,207,55 CENTRE AVE,712,21360.0,PARK FAIL TO DEP. FEE MACHINE,16.0,43.6545873,-79.38665569999999,55 Centre Ave Toronto ON M5G 2H5 Canada,30.0
1322065,2011,9,600 SHERBOURNE ST,356,21360.0,STOP HWY PROHIBITED TIME/DAY,12.0,43.6717966,-79.3767948,600 Sherbourne St Toronto ON M4X Canada,60.0
1320360,2011,9,5 PARK HOME AVE,355,21300.0,STOP HWY PROHIBITED TIME/DAY,15.0,43.7687027,-79.4149034,5 Park Home Ave Toronto ON M2N 6L4 Canada,60.0
1518260,2011,347,2400 EGLINTON AVE W,85,21250.0,PARK IN A FIRE ROUTE,16.0,43.6932451,-79.4661478,2400 Eglinton Ave W Toronto ON M6M 1S6 Canada,250.0
1201277,2011,3,4100 YONGE ST,708,21240.0,PARK/LEAVE ON PRIVATE PROPERTY,11.0,43.7463823,-79.4087199,4100 Yonge St North York ON M2P Canada,30.0
1310616,2011,9,1345 ST CLAIR AVE W,353,21180.0,STOP HWY PROHIBITED TIME/DAY,15.0,43.6761344,-79.44984,1345 St Clair Ave W Toronto ON M6E 1C3 Canada,60.0
1243177,2011,5,30 WELLINGTON ST W,529,21160.0,PARK HWY PROHIBED TIME/DAY,12.0,43.6475888,-79.3792489,30 Wellington St W Toronto ON M5E Canada,40.0
1522130,2011,363,145 MUTUAL ST,47,21150.0,PARK ON-STRT DISABLD NO PERMIT,15.0,43.6590739,-79.37640329999999,145 Mutual St Toronto ON M5B 2K5 Canada,450.0
1326191,2011,9,BERTI ST,352,21120.0,STOP HWY PROHIBITED TIME/DAY,14.0,43.6526192,-79.3765238,Berti St Toronto ON M5C Canada,60.0
