,infraction_code,location2,count,fine_sum,fine_descrp,lat,lng,address
164,1,85 STORMONT AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7184165,-79.4285733,85 Stormont Ave North York ON M5N 2C3 Canada
165,1,859 DUNDAS ST W,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6513222,-79.41031559999999,859 Dundas St W Toronto ON M6J 3W2 Canada
166,1,861 DUNDAS ST W,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6513116,-79.41042709999999,861 Dundas St W Toronto ON M6J 1V6 Canada
167,1,861b DUNDAS ST W,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6513116,-79.41042709999999,861 Dundas St W Toronto ON M6J 1V6 Canada
168,1,870 QUEEN ST E,5,150.0,PARK FAIL TO DEPOSIT FEE METER,43.6600644,-79.3452488,870 Queen St E Toronto ON M4M 3G9 Canada
169,1,89 YARROW RD,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.6896896,-79.4758172,89 Yarrow Rd York ON M6M 4E4 Canada
170,1,9 CHARLESWOOD DR,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.7380327,-79.4351568,9 Charleswood Dr North York ON M3H 1X3 Canada
171,1,9 CONNAUGHT AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6637996,-79.3216793,9 Connaught Ave Toronto ON M4L 2V8 Canada
172,1,9 FAIRHOLME AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.718127,-79.4302412,9 Fairholme Ave North York ON M6B 2W4 Canada
173,1,91 MARMION AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7266633,-79.4313505,91 Marmion Ave Toronto ON M5M 1Y4 Canada
174,1,91 STORMONT AVE,12,360.0,PARK FAIL TO DEPOSIT FEE METER,43.7184374,-79.42892680000001,91 Stormont Ave North York ON M5N 2C3 Canada
175,1,91 YARROW RD,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6897286,-79.4758564,91 Yarrow Rd York ON M6M 4E4 Canada
176,1,9114 WEST LYNN AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6831176,-79.31567249999999,W Lynn Ave Toronto ON M4C Canada
177,1,ABBEYWOOD TRL,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.749105,-79.36448299999999,Abbeywood Trail Toronto ON M3B Canada
178,1,ABBOTSFIELD GATE LANE,9,270.0,PARK FAIL TO DEPOSIT FEE METER,43.7767318,-79.3145562,Abbotsfield Gate Ln Scarborough ON M1T Canada
179,1,ALBERTUS AVE,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.71381299999999,-79.403585,Albertus Ave Toronto ON Canada
180,1,BALES AVE,4,120.0,PARK FAIL TO DEPOSIT FEE METER,43.7593108,-79.409067,Bales Ave North York ON M2N Canada
181,1,BANGOR RD,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7621058,-79.4162047,Bangor Rd North York ON M2N Canada
182,1,BEDFORD PARK AVE,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.7245397,-79.416552,Bedford Park Ave Toronto ON Canada
183,1,BEVERLEY ST,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6541674,-79.3939888,Beverley St Toronto ON Canada
184,1,BRAEMAR AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.701596,-79.408571,Braemar Ave Toronto ON Canada
185,1,BRUNSWICK AVE,5,150.0,PARK FAIL TO DEPOSIT FEE METER,43.6654832,-79.4072862,Brunswick Ave Toronto ON Canada
186,1,CEDARVALE AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6914267,-79.31327250000001,Cedarvale Ave Toronto ON M4C Canada
187,1,CHARLESWOOD DR,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7376356,-79.4375077,Charleswood Dr Toronto ON M3H Canada
188,1,CRAIGHURST AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.714849,-79.4031849,Craighurst Ave Toronto ON Canada
189,1,DUNCANNON DR,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.702104,-79.411383,Duncannon Dr Toronto ON Canada
190,1,DYNEVOR RD,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6935165,-79.4503778,Dynevor Rd York ON M6E Canada
191,1,FOURTH ST,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6322904,-79.3552673,Fourth St Toronto ON M5J Canada
192,1,GAMBLE AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6903736,-79.34918139999999,Gamble Ave Toronto ON Canada
193,1,HOWLAND AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6709833,-79.4107707,Howland Ave Toronto ON Canada
194,1,MARMION AVE,4,120.0,PARK FAIL TO DEPOSIT FEE METER,43.7274153,-79.4277592,Marmion Ave Toronto ON Canada
195,1,MELROSE AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7299266,-79.4184373,Melrose Ave Toronto ON Canada
196,1,OLD ORCHARD GRV,4,120.0,PARK FAIL TO DEPOSIT FEE METER,43.73168010000001,-79.41920619999999,Old Orchard Grove Toronto ON Canada
197,1,ONSLOW CRES,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.692887,-79.4434569,Onslow Crescent Toronto ON M6E Canada
198,1,RUSSELL HILL RD,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.691864,-79.41048599999999,Russell Hill Rd Toronto ON Canada
199,1,ST GERMAIN AVE,4,120.0,PARK FAIL TO DEPOSIT FEE METER,43.7290712,-79.41736639999999,St Germain Ave Toronto ON Canada
200,1,TARLTON RD,4,120.0,PARK FAIL TO DEPOSIT FEE METER,43.701867,-79.41250699999999,Tarlton Rd Toronto ON Canada
201,1,UPPER MADISON AVE,7,210.0,PARK FAIL TO DEPOSIT FEE METER,43.7640828,-79.4124657,Upper Madison Ave North York ON M2N Canada
202,1,WARREN RD,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6877545,-79.40715,Warren Rd Toronto ON M4V Canada
203,1,WEDGEWOOD DR,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7901923,-79.4107994,Wedgewood Dr Toronto ON M2M 3W2 Canada
204,1,WESTOVER HILL RD,9,270.0,PARK FAIL TO DEPOSIT FEE METER,43.6972128,-79.4319577,Westover Hill Rd Toronto ON M6C Canada
205,1,WHITLEY AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7279835,-79.46314269999999,Whitley Ave North York ON M3K Canada
206,1,WOBURN AVE,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.7254376,-79.4167957,Woburn Ave Toronto ON Canada
